"Source:","/home/adam/hardware/colordance-circle/hardware/buttons/square/square.kicad_sch"
"Date:","Fri 29 Apr 2022 07:00:32 PM MDT"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","10"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor",""
"C2, ","1","100nF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"D1, D2, D3, D4, ","4","WS2812B","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","RGB LED with integrated controller",""
"J1, J2, ","2","Conn_01x03","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R2, ","2","33","R","Resistor_SMD:R_0603_1608Metric","Resistor",""
